# package|architecture|version|bytes|sha256|repository-path
pulseaudio|aarch64|17.0-1|844184|5a52eb2d58300e7b399157cf41b0d4d69043ee6fe4a2f3ce6a6686c58130a5fc|pool/main/p/pulseaudio/pulseaudio_17.0-1_aarch64.deb
dbus|aarch64|1.16.2-3|428952|1b6d5e349708414acbbb1404210e32d4e3f390890d02e162639dec1016a8657b|pool/main/d/dbus/dbus_1.16.2-3_aarch64.deb
libandroid-execinfo|aarch64|0.1-3|14964|725dd2c6da7fc96e860fcc928e18aa9fb0e85e0bdcaf4f8ce0f0654ca6860fc2|pool/main/liba/libandroid-execinfo/libandroid-execinfo_0.1-3_aarch64.deb
libltdl|aarch64|2.5.4-2|18024|320c0767f036356b922205f820e3c7424703b085c2c5c949d388b5aae2188fb4|pool/main/libl/libltdl/libltdl_2.5.4-2_aarch64.deb
libsndfile|aarch64|1.2.2-2|217128|f71cca07c3209d6baadd9bd51ab239d66ea89b5dc10bcb86637050b9463ad8da|pool/main/libs/libsndfile/libsndfile_1.2.2-2_aarch64.deb
libsoxr|aarch64|0.1.3-8|282436|a1c5f66aae3b9900e9a492b43901b2b98586870c7905feb9f3c835cc9af464be|pool/main/libs/libsoxr/libsoxr_0.1.3-8_aarch64.deb
speexdsp|aarch64|1.2.1-1|37332|21cd5d122a8d24dffb9b2926dff7059f8f42cde7c5a91f27ea5c9b4f40356be0|pool/main/s/speexdsp/speexdsp_1.2.1-1_aarch64.deb
libiconv|aarch64|1.18-1|561152|b19e6f348034bb48d2a5590b5cb242769f682c476717374d134d004cc663dc84|pool/main/libi/libiconv/libiconv_1.18-1_aarch64.deb
libexpat|aarch64|2.8.2|95536|6f5eb2fd14b6fe4d7bb79bf7f0f3d7fc838fea07402477a172b147304366b372|pool/main/libe/libexpat/libexpat_2.8.2_aarch64.deb
libflac|aarch64|1.5.0-1|202828|d1d6fcac6fd6d15c36f34464cb01d5e2140e321d8448dfc396cd7eb1536b1f6c|pool/main/libf/libflac/libflac_1.5.0-1_aarch64.deb
libmp3lame|aarch64|3.100-7|114708|8c28c74209eb5c31675b4e9c1ee5193c1bf22c49ff5965612dcf9aede5d870d9|pool/main/libm/libmp3lame/libmp3lame_3.100-7_aarch64.deb
libogg|aarch64|1.3.6-1|188636|4f1700a532f251ad3600f44f88cd764f1f6b0542d3343391117944b47a92802d|pool/main/libo/libogg/libogg_1.3.6-1_aarch64.deb
libopus|aarch64|1.6.1|191480|005a9335ce0ec0f510bbe6e0229c901d6f920cc375fcda56461e96cef70f8ff0|pool/main/libo/libopus/libopus_1.6.1_aarch64.deb
libvorbis|aarch64|1.3.7-4|261740|6bfd70c4b570b85594bd06116b75a6f8109ec58cbc123e938b630a6eefdedf4e|pool/main/libv/libvorbis/libvorbis_1.3.7-4_aarch64.deb
pulseaudio|x86_64|17.0-1|928184|0dd521766d8a170aad3fe82af1c08de04c5a8c4a8a44265fd3b5ef4d6ec4f800|pool/main/p/pulseaudio/pulseaudio_17.0-1_x86_64.deb
dbus|x86_64|1.16.2-3|448316|7860940419ff89270227063267f7aab3e3b7a91789359d9296190e50a361aff7|pool/main/d/dbus/dbus_1.16.2-3_x86_64.deb
libandroid-execinfo|x86_64|0.1-3|15184|348582b47b4b6dec8c13147437d8bd93d029239bc95f30635074cad08efb6220|pool/main/liba/libandroid-execinfo/libandroid-execinfo_0.1-3_x86_64.deb
libltdl|x86_64|2.5.4-2|18840|9ee9b4538a7804feb9381941047a9496bf2476b13bf7418b01a24cde3d7d21d9|pool/main/libl/libltdl/libltdl_2.5.4-2_x86_64.deb
libsndfile|x86_64|1.2.2-2|222852|b1464c23bbef58256b837a2ffafbc372e9464c295490e68e9307c22945e9055a|pool/main/libs/libsndfile/libsndfile_1.2.2-2_x86_64.deb
libsoxr|x86_64|0.1.3-8|371684|3cd66761119a4f4cb621a701279c2b2edc9a6c4e9f1872dbfc8058fb76c6a66f|pool/main/libs/libsoxr/libsoxr_0.1.3-8_x86_64.deb
speexdsp|x86_64|1.2.1-1|39172|9d8b3656fb666b524cd46ef6c37b3323033e7398400746fc09945dc004fb0e7f|pool/main/s/speexdsp/speexdsp_1.2.1-1_x86_64.deb
libiconv|x86_64|1.18-1|563424|c171356580d85f58d3eedc9c5f49b563d80afb18c92cbbb0382295d539bc0719|pool/main/libi/libiconv/libiconv_1.18-1_x86_64.deb
libexpat|x86_64|2.8.2|101332|c4e9c0f51dc6d892819d1fb884a3d2509ef4d099ab0dc3df0f2e168d83340d4d|pool/main/libe/libexpat/libexpat_2.8.2_x86_64.deb
libflac|x86_64|1.5.0-1|212968|2f07360bfa8c876eeb73cd566c4c0bde19345645dcae4fbc6db14cc12301c6e3|pool/main/libf/libflac/libflac_1.5.0-1_x86_64.deb
libmp3lame|x86_64|3.100-7|120296|098490855464eefed965c91b8484d275ba840042d882b66dc6346a96d0f5f70e|pool/main/libm/libmp3lame/libmp3lame_3.100-7_x86_64.deb
libogg|x86_64|1.3.6-1|188844|55dd0908feb56bec69fdf1c0aaeedb73f6c74cc28495c0d640172845863c9eed|pool/main/libo/libogg/libogg_1.3.6-1_x86_64.deb
libopus|x86_64|1.6.1|201676|724f0215e78a21a02f8dd01dd6c78d6cea71457c8080be99f984f5d8c8f5e4d9|pool/main/libo/libopus/libopus_1.6.1_x86_64.deb
libvorbis|x86_64|1.3.7-4|266172|9515c03de58faa17e2e19deb78da09289c90b939c17fcbaf4b171aebfefb65bf|pool/main/libv/libvorbis/libvorbis_1.3.7-4_x86_64.deb
